2018-07-02 15:08:32 LEVEL-0 Test Exception, file: tests/ExceptionTest.php, line: 11
2018-07-02 15:09:58 LEVEL-0 Test Exception, file: tests/ExceptionTest.php, line: 11
2018-07-02 15:13:35 LEVEL-0 Test Exception, file: tests/ExceptionTest.php, line: 11
2018-07-02 15:18:32 LEVEL-0 Test Exception, file: tests/ExceptionTest.php, line: 11
2018-07-02 15:31:22 LEVEL-0 Test Exception, file: tests/ExceptionTest.php, line: 11
2018-07-02 15:31:35 LEVEL-0 Test Exception, file: tests/ExceptionTest.php, line: 11
2018-07-02 17:28:41 LEVEL-0 Test Exception, file: tests/ExceptionTest.php, line: 11
2018-07-02 17:28:53 LEVEL-0 Test Exception, file: tests/ExceptionTest.php, line: 11
2018-07-02 20:00:25 LEVEL-0 Test Exception, file: tests/ExceptionTest.php, line: 11
